CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
30445,SHS,557,Adv Clin Prac Aud Assess Rehab,E,LCD,120155,"Chambers, Lou",,,,,,,,,,,,,,,
36579,SHS,557,Adv Clin Prac Aud Assess Rehab,G,LCD,120155,"Chambers, Lou",,,,,,,,,,,,,,,
35117,SHS,577,Advanced Practicum in SHS,A,CNF,120155,"Cetin, Patricia D",3.82,4,20,4,0,0,0,0,2,0,0,0,0,0,0
30448,SHS,577,Advanced Practicum in SHS,D,CNF,120155,"Cetin, Patricia D",,,,,,,,,,,,,,,
30449,SHS,577,Advanced Practicum in SHS,E,CNF,120155,"Cetin, Patricia D",3.85,6,40,8,4,4,0,0,0,0,0,0,0,0,0
35116,SHS,579,Prof/Eth/Legal Issues AuD/SLP,LEC,LEC,120155,"Chambers, Lou",3.89,0,36,14,2,0,0,0,0,0,0,0,0,0,0
35916,SHS,593,Special Problems,AEP,LBD,120155,"Chambers, Ronny D",,,,,,,,,,,,,,,
34569,SHS,593,Special Problems,C,LCD,120155,"Chambers, Ronny D",,,,,,,,,,,,,,,
37476,SOC,100,Introduction to Sociology,AD1,ONL,120155,"Steward, Daniel J",3.49,0,36,4,2,4,2,6,2,0,0,2,0,0,0
37477,SOC,100,Introduction to Sociology,AD2,ONL,120155,"Steward, Daniel J",3.36,0,34,4,0,4,2,4,2,0,2,4,0,0,2
37478,SOC,100,Introduction to Sociology,AD3,ONL,120155,"Steward, Daniel J",3.42,0,24,2,10,10,4,0,2,2,0,0,0,0,2
37479,SOC,100,Introduction to Sociology,AD4,ONL,120155,"Steward, Daniel J",3.51,0,24,8,10,0,2,4,0,0,0,2,0,0,4
37855,SOC,275,Criminology,A,ONL,120155,"Bohr, Jeremiah J",3.37,0,22,4,2,4,2,4,2,0,0,0,2,0,0
36338,SOC,310,Sociology of Deviance,ONL,ONL,120155,"Kelley, Margaret S",2.52,0,6,8,4,14,6,0,8,8,0,2,0,6,0
38317,SOC,350,Technology and Society,ONL,ONL,120155,"Steward, Daniel J",3.7,0,24,14,0,10,0,0,0,0,0,0,0,0,0
34266,SOC,480,Methods of Field Research,AZ,LEC,120155,"Zerai, Assata",,,,,,,,,,,,,,,
34520,SOC,583,Qualitative Research Methods,AZ,LEC,120155,"Zerai, Assata",3.85,18,0,0,2,2,0,0,0,0,0,0,0,0,0
