CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
36424,MUS,275,Brass Band,A,PR,120101,"Griffin, Peter J",,,,,,,,,,,,,,,
36162,MUS,314,The History of Music II,AL1,LEC,120101,"Jones, Joseph E",2.77,9.0,8.0,10.0,13.0,12.0,6.0,5.0,9.0,7.0,5.0,3.0,1.0,3.0,0.0
35584,MUS,320,Pre-Student Tchng Experience,HD,DIS,120101,"Allen, David J",,,,,,,,,,,,,,,
50424,MUS,320,Pre-Student Tchng Experience,S,DIS,120101,"Bergonzi, Louis S",,,,,,,,,,,,,,,
35581,MUS,320,Pre-Student Tchng Experience,WP,DIS,120101,"Manfredo, Joseph",,,,,,,,,,,,,,,
36170,MUS,331,Choral Tch and Rehearsal Tch,A,LBD,120101,"Alwes, Chester L",,,,,,,,,,,,,,,
36172,MUS,332,Adv Conducting/Tch Strats-Band,A,LBD,120101,"Manfredo, Joseph",,,,,,,,,,,,,,,
36174,MUS,335,Elem and Mid Sch Instrum Music,A,LBD,120101,"Manfredo, Joseph",,,,,,,,,,,,,,,
36176,MUS,339,Princpls and Technqs in Mus Ed,A,LCD,120101,"Grashel, John W",3.73,9.0,6.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36186,MUS,343,Tchg Music in Middle School,A,LCD,120101,"Talbot, Brent C",,,,,,,,,,,,,,,
36187,MUS,344,Tchng Secondary Inst Music,A,LBD,120101,"Manfredo, Joseph",,,,,,,,,,,,,,,
36188,MUS,346,Teaching of Choral Music,B,LCD,120101,"Millman, Margaux B",3.65,0.0,8.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36189,MUS,348,Rep for Scndry Sch Chor Prog,A,LBD,120101,"Alwes, Chester L",,,,,,,,,,,,,,,
46475,MUS,352,Tchng Strings in Grp Settings,A,LBD,120101,"Bergonzi, Louis S",,,,,,,,,,,,,,,
43928,MUS,361,Jazz Improv:Theory and Prac II,A,CNF,120101,"Carrillo, Teofilo L",,,,,,,,,,,,,,,
46442,MUS,363,Jazz Arranging II,A,CNF,120101,"McNeill, Charles L",,,,,,,,,,,,,,,
43933,MUS,365,Jazz Composition II,A,CNF,120101,"Pugh, James E",,,,,,,,,,,,,,,
43927,MUS,369,Jazz Improvisation Styles II,A,CNF,120101,"Bridgewater, Ronald S",,,,,,,,,,,,,,,
36428,MUS,404,Contemp Compos Techniques,A,LCD,120101,"Taube, Heinrich K",,,,,,,,,,,,,,,
36429,MUS,405,Analytical Systems 20thC Mus,A,LCD,120101,"Browning, Zack D",,,,,,,,,,,,,,,
